web-scraper-order,web-scraper-start-url,Type_habit,Prix,Adresse,Image_lien-src
"1739917822-1051","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements Enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428829_uploaded_image1_1594515064.jpg"
"1739917822-1052","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements Enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428818_uploaded_image1_1594514927.jpg"
"1739917822-1053","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428817_uploaded_image1_1594514895.jpg"
"1739917822-1054","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428816_uploaded_image1_1594514870.jpg"
"1739917822-1055","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements - chaussures enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428149_uploaded_image1_1594496297.jpg"
"1739917822-1056","https://sn.coinafrique.com/categorie/vetements-enfants","Habits enfants","3 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2422436_uploaded_image1_1594379503.jpg"
"1739917822-1057","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2422404_uploaded_image1_1594379097.jpg"
"1739917822-1058","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2421022_uploaded_image1_1594339623.jpg"
"1739917822-1059","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfant","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2421019_uploaded_image1_1594339575.jpg"
"1739917822-1060","https://sn.coinafrique.com/categorie/vetements-enfants","Robes","14 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2420338_uploaded_image1_1594327532.jpg"
"1739917822-1061","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","14 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2419780_uploaded_image1_1594317202.jpg"
"1739917822-1062","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","Prix sur demande","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2419535_uploaded_image1_1594313257.jpg"
"1739917822-1063","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","11 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2419444_uploaded_image1_1594311993.jpg"
"1739917822-1064","https://sn.coinafrique.com/categorie/vetements-enfants","Robé bébé","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2419428_uploaded_image1_1594311733.jpg"
"1739917822-1065","https://sn.coinafrique.com/categorie/vetements-enfants","Robes","11 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2419413_uploaded_image1_1594312294.jpg"
